treść,NAZWA_Sekcji,ID SekcjI (stała),id sekcji nadrzędnej (Stała),ID_TAB,data SFCR,wersja SFCR,numer zakładu w systemie UKNF (kod zakładu)
"biznesowe.  
 
Tabela 1: Wynik z działalności ubezpieczeniowej w podziale na istotne linie biznesowe 
tys. PLN  
2020 
2021 
Zmiana 
% 
Ubezpieczenia na życie 
 
37 566 
22 135 
-15 431 
-41,1% 
Ubezpieczenia posagowe, zaopatrzenia 
dzieci 
 
675 
663 
-12 
-1,8% 
Ubezpieczenia na życie, jeżeli są związane 
z UFK, a także ubezpieczenia na życie, w 
których świadczenie zakładu ubezpieczeń 
jest ustalane w oparciu o określone indeksy 
lub inne wartości bazowe 
 
30 188 
24 632 
-5 556 
-18,4% 
Ubezpieczenia rentowe 
 
6 
14 
8 
133,3% 
Ubezpieczenia wypadkowe i chorobowe 
 
60 315 
54 540 
-5 775 
-9,6% 
Suma 
 
128 750 
101 984 
-26 766 
-20,8% 
 
 
 
 
 
 
 
 
TU Allianz Życie Polska S.A.
 
 
 
Sprawozdanie o wypłacalności i kondycji finansowej 
31 grudnia 2021 r. 
 
 
13 
 
Internal 
 
Tabela 2: Przychody i koszty z działalności ubezpieczeniowej w podziale na istotne linie biznesowe. 
2021 
 
tys. PLN  
Składki 
zarobion
e netto 
Wynik z 
działalnośc
i lokacyjnej 
Odszkodowani
a i świadczenia 
netto 
Koszty 
działalności 
ubezpieczeniowe
j 
 
Ubezpieczenia na życie 
 
162 183 
22 359 
112 995 
44 327 
 
Ubezpieczenia posagowe, zaopatrzenia dzieci 
 
2 007 
846 
4 271 
191 
 
Ubezpieczenia na życie, jeżeli są związane z 
UFK, a także ubezpieczenia na życie, w 
których świadczenie zakładu ubezpieczeń jest 
ustalane w oparciu o określone indeksy lub 
inne wartości bazowe 
 
141 513 
122 408 
294 358 
16 745 
 
Ubezpieczenia rentowe 
 
490 
68 
358 
9 
 
Ubezpieczenia wypadkowe i chorobowe 
 
250 447 
1 259 
119 088 
77 741 
 
Suma 
 
556 640 
146 940 
531 070 
139 013 
 
 
 
  
 
 
 
 
 
2020 
 
 
  
 
 
 
 
tys. PLN  
Składki 
zarobion
e netto 
Wynik z 
działalnośc
i lokacyjnej 
Odszkodowani
a i świadczenia 
netto 
Koszty 
działalności 
ubezpieczeniowe
j 
 
Ubezpieczenia na życie 
 
164 704 
24 846 
98 213 
49 381 
 
Ubezpieczenia posagowe, zaopatrzenia dzieci 
 
2 272 
947 
4 903 
285 
 
Ubezpieczenia na życie, jeżeli są związane z 
UFK, a także ubezpieczenia na życie, w 
których świadczenie zakładu ubezpieczeń jest 
ustalane w oparciu o określone indeksy lub 
inne wartości bazowe 
 
156 016 
157 027 
203 343 
14 010 
 
Ubezpieczenia rentowe 
 
552 
66 
326 
17 
 
Ubezpieczenia wypadkowe i chorobowe 
 
256 964 
855 
117 336 
80 556 
 
Suma 
 
580 508 
183 741 
424 121 
144 249 
 
 
 
 
TU Allianz Życie Polska S.A.
 
 
 
Sprawozdanie o wypłacalności i kondycji finansowej 
31 grudnia 2021 r. 
 
 
14 
 
Internal 
 
Zmiana 
  
Składki 
zarobione 
netto 
Wynik z 
działalności 
lokacyjnej 
Odszkodowania 
i świadczenia 
netto 
Koszty 
działalności 
ubezpieczeniowej 
Ubezpieczenia na życie 
 
-1,5% 
-10,0% 
15,1% 
-10,2% 
Ubezpieczenia posagowe, zaopatrzenia 
dzieci 
 
-11,7% 
-10,7% 
-12,9% 
-33,0% 
Ubezpieczenia na życie, jeżeli są związane 
z UFK, a także ubezpieczenia na życie, w 
których świadczenie zakładu ubezpieczeń 
jest ustalane w oparciu o określone indeksy 
lub inne wartości bazowe 
 
-9,3% 
-22,0% 
44,8% 
19,5% 
Ubezpieczenia rentowe 
 
-11,2% 
3,0% 
9,8% 
-47,1% 
Ubezpieczenia wypadkowe i chorobowe 
 
-2,5% 
47,3% 
1,5% 
-3,5% 
Suma 
 
-4,1% 
-20,0% 
25,2% 
-3,6% 
 
 
Do wyniku finansowego Zakładu Ubezpieczeń 
w największym 
stopniu kontrybuowały 
ubezpieczenia wypadkowe i chorobowe, w których zaobserwowany został spadek składki 
zarobionej netto. W ubezpieczeniach na życie składka zarobiona netto była niższa w porównaniu 
do 2020 roku, przy niższych kosztach działalności ubezpieczeniowej.",A.2.1.1 Wynik z działalności ubezpieczeniowej w podziale na istotne linie ,46,45,1,2022,1,259400IBCICD0KY7ZW46
"na obszary geograficzne 
Całość wyniku z działalności ubezpieczeniowej TU Allianz Życie Polska S.A. jest realizowana na 
terenie Polski.",A.2.1.2 Wynik z działalności ubezpieczeniowej / przychody i koszty w podziale ,47,45,1,2022,1,259400IBCICD0KY7ZW46
" 
Wynik techniczny był niższy o 26,8 mln zł w porównaniu do roku poprzedniego, co w głównej mierze 
było spowodowane wyższym poziomem odszkodowań i świadczeń wypłaconych brutto. 
Największy spadek wyniku miał miejsce w ubezpieczeniach na życie głównie ze względu na 
wyższą szkodowość w stosunku do roku 2020.",A.2.1.3 Ogólna charakterystyka wyniku z działalności ubezpieczeniowej  ,48,45,1,2022,1,259400IBCICD0KY7ZW46
Wynik z działalności lokacyjnej (inwestycyjnej),A.3 Wynik z działalności lokacyjnej (inwestycyjnej),5,2,1,2022,1,259400IBCICD0KY7ZW46
" 
Struktura portfela inwestycyjnego Towarzystwa wynika z charakteru i struktury jego zobowiązań  
i rezerw. Głównym składnikiem portfela inwestycyjnego Towarzystwa są polskie obligacje 
skarbowe  
a następnie udziały w jednostkach powiązanych oraz jednostki uczestnictwa funduszy 
inwestycyjnych sektora obligacji korporacyjnych oraz sektora obligacji skarbowych rynków 
rozwijających się (tzw. emerging markets). 
TU Allianz Życie Polska S.A.
 
 
 
Sprawozdanie o wypłacalności i kondycji finansowej 
31 grudnia 2021 r. 
 
 
15 
 
Internal 
Tabela 3: Alokacja aktywów finansowych 
  
 
w tys. PLN 
  
  
 
% 
  
  
  
 
31.12.2021 31.12.2020 
zmiana 
 
31.12.2021 
31.12.2020 
zmiana  
Obligacje Skarbu Państwa 
 
734 312 
864 752 
-130 440  
28% 
34% 
-5% 
Jednostki uczestnictwa 
inwestujące w instrumenty dłużne  
127 277 
88 644 
38 633  
5% 
3% 
1% 
Jednostki uczestnictwa 
inwestujące w instrumenty 
akcyjne 
 
11 606 
11 510 
96 
 
0% 
0% 
0% 
Jednostki uczestnictwa 
inwestujące w pozostałe 
instrumenty 
 
6 291 
6 470 
-179 
 
0% 
0% 
0% 
 Depozyty inne niż ekwiwalenty 
środków pieniężnych 
 
29 858 
43 068 
-13 210  
1% 
2% 
-1% 
Aktywa netto ubezpieczeń na 
życie, gdy ryzyko lokaty ponosi 
ubezpieczający 
 
1 662 466 
1 715 157 
-52 691  
65% 
67% 
-2% 
Strukturyzowane papiery 
wartościowe 
 
2 789 
3 618 
-829  
0% 
0% 
0% 
Instrumenty pochodne 
 
2 070 
900 
1 170  
0% 
0% 
0% 
Suma 
 
2 576 669 
2 734 119 
-157 450  
100% 
100% 
0% 
 
Wynik na działalności inwestycyjnej Towarzystwa jest rezultatem takiego składu portfela oraz 
zmian na rynku finansowym: 
Tabela 4: Zmiany wyniku inwestycyjnego 
w tys. PLN 
 
Instrumenty dłużne 
 
Jednostki 
uczestnictwa 
 
Pozostałe lokaty 
oraz depozyty 
inne niż 
ekwiwalenty 
środków 
pieniężnych 
 
Aktywa netto 
ubezpieczeń na 
życie, gdy ryzyko 
lokaty ponosi 
ubezpieczający 
 
Suma 
 
 
 
  
  
 
 
 
 
  
 
12M 2021 12M 2020  
12M 
2021 
12M 
2020 
 
12M 
2021 
12M 
2020 
 
12M 
2021 
12M 
2020 
 
12M 2021 
12M 2020 
Przychody z lokat 
 
22 441 
24 671  
1 349 
2 346  
6 
81  
412 
12 071  
24 208 
39 169 
Wynik dodatni z 
realizacji lokat 
 
1 786 
1 887 
 
149 
223 
 
3 
  
 
70 874 
84 461  
72 812 
86 571 
Niezrealizowane zyski 
z lokat 
 
  
  
 
23 
126 
 
159 
205 
 
99 669 
95 663  
99 851 
95 994 
Koszty działalności 
lokacyjnej 
 
658 
1 024 
 
130 
130 
 
31 
51 
 
20 588 
17 781  
21 407 
18 986 
Wynik ujemny z 
realizacji lokat 
 
332 
4 
 
96 
1614 
 
  
  
 
4 097 
8 445  
4 525 
10 063 
Niezrealizowane 
straty na lokatach 
 
  
  
 
11 
2 
 
126 
  
 
23 862 
8 942  
23 999 
8 944 
Wynik z działalności 
lokacyjnej 
 
23 237 
25 530 
 
1 284 
949 
 
11 
235 
 
122 408 
157 027  
146 940 
183 741 
 
 
W roku 2021 całkowity wynik na działalności inwestycyjnej wyniósł 146,9 mln zł, co stanowiło 
zmianę o -36,8 mln zł w porównaniu do roku poprzedniego. Wynik w 2021 na środkach własnych 
wyniósł 24,5 mln zł, zaś na aktywach UFK 122,4 mln zł. 
 
TU Allianz Życie Polska S.A.
 
 
 
Sprawozdanie o wypłacalności i kondycji finansowej 
31 grudnia 2021 r. 
 
 
16 
 
Internal",A.3.1 Wynik z działalności lokacyjnej i jego składowe  ,49,5,1,2022,1,259400IBCICD0KY7ZW46
" 
Przychody z lokat dotyczące portfela inwestycyjnego Towarzystwa wyniosły w 2021 roku PLN 25,7 
mln zł. Całkowity wynik na działalności inwestycyjnej na środkach własnych wyniósł 24,5 mln zł.  
Na znaczący wzrost wyniku na działalności inwestycyjnej wpływ miał też wynik na aktywach UFK, 
których aktywa wzrosły w wyniku pozytywnych trendów na globalnych rynkach akcji, w tym także i 
polskim.",A.3.2 Wynik z działalności lokacyjnej  ,50,5,1,2022,1,259400IBCICD0KY7ZW46
" 
 
Poniższa tabela prezentuje stany kapitału z aktualizacji wyceny. 
Tabela 5: Kapitał z aktualizacji wyceny 
w tys. PLN 
 
2021 
2020 
Skład kapitału z aktualizacji wyceny 
 
  
  
Instrumenty finansowe dostępne do sprzedaży 
 
-7 961 
53 317 
Razem Kapitał z aktualizacji wyceny 
 
-7 961 
53 317",A.3.3 Zyski/straty rozpoznawane bezpośrednio w kapitałach  ,51,5,1,2022,1,259400IBCICD0KY7ZW46
" 
W roku 2021 Towarzystwo nie przeprowadzało inwestycji w instrumenty sekurytyzowane takie jak 
np. ABS (Asset Backed Securities), MBS (Mortgage Backed Securities) czy inne.",A.3.4 Informacja nt. inwestycji w instrumenty sekurytyzowane ,52,5,1,2022,1,259400IBCICD0KY7ZW46
Wyniki z pozostałych rodzajów działalności,A.4 Wyniki z pozostałych rodzajów działalności,6,2,1,2022,1,259400IBCICD0KY7ZW46
Wszelkie inne informacje,A.5 Wszelkie inne informacje,7,2,1,2022,1,259400IBCICD0KY7ZW46
System zarządzania,B. System zarządzania,8,8,1,2022,1,259400IBCICD0KY7ZW46
Informacje ogólne o systemie zarządzania,B.1 Informacje ogólne o systemie zarządzania,9,8,1,2022,1,259400IBCICD0KY7ZW46
" 
Zarząd składa się, z co najmniej trzech członków powoływanych i odwoływanych przez Radę 
Nadzorczą na wspólną, 5-letnią kadencję.  
Na dzień 31 grudnia 2021 r. w skład Zarządu wchodziło 5 członków, w tym Prezes i jeden  
Wiceprezes. 
Skład Zarządu Spółki na koniec 2021 roku prezentował się następująco: 
• 
Matthias Florianus Baltin – Prezes Zarządu, 
• 
Radosław Kazimierz Kamiński – Wiceprezes Zarządu, 
• 
Krzysztof Wanatowicz – członek Zarządu, 
• 
Martin Klecha  członek Zarządu 
• 
Vojtěch Pivný - członek Zarządu. 
Do kompetencji Zarządu należą wszelkie sprawy niezastrzeżone na rzecz innych organów Spółki 
przez przepisy Ustawy o działalności ubezpieczeniowej i reasekuracyjnej, Kodeks spółek 
handlowych oraz Statut.  
Zarząd, przy uwzględnieniu uprawnień pozostałych organów Spółki, p rowadzi sprawy Spółki, 
określa kierunki jej działalności, reprezentuje ją na zewnątrz, w sądzie i poza sądem oraz 
podejmuje uchwały dla wykonania celów Spółki, w tym w szczególności zatwierdza ogólne i 
szczególne warunki ubezpieczeń. 
TU Allianz Życie Polska S.A.
 
 
 
Sprawozdanie o wypłacalności i kondycji finansowej 
31 grudnia 2021 r. 
 
 
21 
 
Internal 
Zadania operacyjne związane z bieżącym funkcjonowaniem Spółki realizowane są przez 
poszczególnych członków Zarządu w ramach kierowanych przez nich wyodrębnionych pionów 
organizacyjnych. Na dzień 31 grudnia 2021 roku w Spółce działały następujące piony: 
1. Pion Zarządzania Wewnętrznego, kierowany przez Prezesa Zarządu Matthiasa Baltina, 
2. Pion Operacyjny, kierowany przez Wiceprezesa Zarządu Radosława Kamińskiego, 
3. Pion Finansowy, kierowany przez członka Zarządu  Vojtěcha Pivný,  
4. Pion Underwritingu i Zarządzania Produktami, kierowany przez członka Zarządu 
Krzysztofa Wanatowicza, 
5. Pion Sprzedaży, nadzorowany przez członka Zarządu Martina Klecha. 
 
Członkowie Zarządu pracują także w komitetach wyodrębnionych w ramach struktury 
organizacyjnej Spółki. Na dzień 31 grudnia 2021 roku istniały następujące komitety, w skład 
których wchodzą członkowie Zarządu TU Allianz Życie Polska S.A.: 
1. 
Komitet Ryzyka 
2. 
Komitet Inwestycyjny 
3. 
Komitet Finansowo-Inwestycyjny 
4. 
Komitet Produktowy 
5. 
Komitet Wynagrodzeń 
6. 
Komitet Zamknięcia Aktuarialnego 
7. 
Komitet Ubezpieczeniowych Funduszy Kapitałowych 
8. 
Komitet Szkodowy 
9. 
Komitet Ujawnień Finansowych 
10. 
Komitet Akceptacyjny.",B.1.1 Zarząd  ,53,9,1,2022,1,259400IBCICD0KY7ZW46
"Rada Nadzorcza  sprawuje stały nadzór nad działalnością Spółki we wszystkich dziedzinach jej 
działalności i składa się z co najmniej trzech członków powoływanych i odwoływanych przez Walne 
Zgromadzenie. Pracami Rady kieruje, w tym zwołuje i przewodniczy posiedzeniom, jej 
Przewodniczący powoływany przez 
Walne 
Zgromadzenie. 
W przypadku nieobecności 
Przewodniczącego, Rada reprezentowana jest przez jego Zastępcę, również powoływanego przez 
Walne Zgromadzenie. Na 31 grudnia 2021 roku w skład Rady Nadzorczej wchodziło sześciu 
członków – czterech związanych z akcjonariuszem, w tym Przewodniczący Rady Petros 
Papanikolaou i Wiceprzewodnicząca Rady Teresa Margarida Tudela de Mira Godinho i Kay Müller 
oraz Jovana Nović, jak i dwóch członków niezależnych, Jakub Marek Karnowski i Jacek Lisowski. 
Posiedzenia Rady Nadzorczej odbywają się w zależności od potrzeb. W ro ku 2021 Rada 
Nadzorcza odbyła pięć posiedzeń. Istnieje również możliwość zwołania posiedzenia na wniosek 
Zarządu Spółki lub członka Rady Nadzorczej.",B.1.2 Rada Nadzorcza  ,54,9,1,2022,1,259400IBCICD0KY7ZW46
"Walnego Zgromadzenia.  
Niektóre istotne działania Zarządu wymagają zatwierdzenia lub zgody Rady Nadzorczej. Sytuacje, 
kiedy takie zatwierdzenie lub zgoda są wymagane określone są przez obowiązujące przepisy 
prawa, a także Statut Spółki. Są to w szczególności: 
• 
zatwierdzenie strategii zarządzania ryzykiem oraz innych dokumentów lub działań 
przedstawianych Radzie Nadzorczej przez Zarząd do zatwierdzenia, 
• 
zatwierdzenie sprawozdania o wypłacalności i kondycji finansowej. 
TU Allianz Życie Polska S.A.
 
 
 
Sprawozdanie o wypłacalności i kondycji finansowej 
31 grudnia 2021 r. 
 
 
22 
 
Internal 
Działania wymagające podjęcia uchwały lub udzielenia zgody przez Walne Zg romadzenie Spółki 
to w szczególności: 
• 
podwyższenie lub obniżenie kapitału zakładowego, 
• 
połączenie Spółki z innymi spółkami, 
• 
emisja obligacji Spółki, 
• 
zmiana Statutu Spółki, 
• 
podejmowanie uchwał o podziale zysku lub pokryciu strat, 
• 
rozwiązanie i likwidacja Spółki, 
• 
zbycie i wydzierżawienie przedsiębiorstwa Spółki lub jego zorganizowanej części oraz 
ustanowienia na nich ograniczonego prawa rzeczowego.",B.1.3 Kwestie wymagające zatwierdzenia lub zgody Rady Nadzorczej lub ,55,9,1,2022,1,259400IBCICD0KY7ZW46
